Sample,A1′(fast601),A2′(slow601),B1′(fast602),B2′(slow602),R²,Mix601 (fast),Mix601 (all)
511,88.8482,0.0,365.2303,47.2819,0.9361,0.1957,0.1772
512,28.9355,0.0,657.2229,32.0909,0.9454,0.0422,0.0403
513,92.001,0.0,795.8531,39.2261,0.9473,0.1036,0.0992
514,30.1539,0.0,728.216,32.933,0.9474,0.0398,0.0381
515,63.3315,0.0,484.8835,51.8539,0.9544,0.1155,0.1055
516,143.5445,0.0,1032.8249,43.1416,0.9417,0.122,0.1177
517,47.5249,0.0,2119.6344,76.8863,0.9374,0.0219,0.0212
518,0.0,0.0,4741.69,42.415,0.9252,0.0,0.0
522(2),0.0,0.0,1949.6966,111.5782,0.9102,0.0,0.0
523(2),207.7542,0.0,234.3963,92.4602,0.9285,0.4699,0.3886
524(2),178.6008,0.0,52.9728,76.249,0.9163,0.7712,0.5802
526(2),174.5192,0.0,704.6564,122.8363,0.9271,0.1985,0.1742
527(2),220.7013,0.0,564.9544,132.0189,0.9397,0.2809,0.2405
529(2),178.741,0.0,868.2629,133.3906,0.9526,0.1707,0.1514
530(2),95.8883,20.2398,267.0063,47.6397,0.9876,0.2642,0.2696
535,267.8105,0.0,905.2321,80.4776,0.9628,0.2283,0.2136
601(2),33.5107,0.0,19.1543,15.9852,0.9431,0.6363,0.4881
602(2),10.8159,79.3368,247.476,0.0,0.9627,0.0419,0.267
