index,original_file_name,relative_path,is_research_paper,suggested_new_filename,final_new_filename,status,message
0,& Liu-1994-An outline of physical geography including Pleistocene glacial landforms of eastern Tibet (provinces Sichuan and Qinghai)_.pdf,test1/& Liu-1994-An outline of physical geography including Pleistocene glacial landforms of eastern Tibet (provinces Sichuan and Qinghai)_.pdf,True,Lehmkuhl F & Liu S-1994-GeoJournal-An Outline of Physical Geography Including Pleistocene Glacial Landforms of Eastern Tibet.pdf,Lehmkuhl F & Liu S-1994-GeoJournal-An Outline of Physical Geography Including Pleistocene Glacial Landforms of Eastern Tibet.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Lehmkuhl F & Liu S-1994-GeoJournal-An Outline of Physical Geography Including Pleistocene Glacial Landforms of Eastern Tibet.pdf
1,(Routledge Physical Environment Series) Nicholas Lancaster - Geomorphology of Desert Dunes -Routledge (1995).pdf,test1/(Routledge Physical Environment Series) Nicholas Lancaster - Geomorphology of Desert Dunes -Routledge (1995).pdf,False,,,skipped,Not a research paper
2,0218-中国第十九届释光与电子自旋共振测年学术讨论会（第二号通知）.pdf,test1/0218-中国第十九届释光与电子自旋共振测年学术讨论会（第二号通知）.pdf,False,,,skipped,Not a research paper
3,0331沈勤径V5-博后基金.pdf,test1/0331沈勤径V5-博后基金.pdf,False,,,skipped,Not a research paper
4,1-s2.0-S0012821X15007062-main.pdf,test1/1-s2.0-S0012821X15007062-main.pdf,True,Villaseñor T et al.-2016-EPSL-Linking Late Pleistocene alpine glacial erosion and continental margin sedimentation Insights from 40Ar39Ar da.pdf,Villaseñor T et al.-2016-EPSL-Linking Late Pleistocene alpine glacial erosion and continental margin sedimentation Insights from 40Ar39Ar da.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Villaseñor T et al.-2016-EPSL-Linking Late Pleistocene alpine glacial erosion and continental margin sedimentation Insights from 40Ar39Ar da.pdf
5,1-s2.0-S0012821X1630365X-main.pdf,test1/1-s2.0-S0012821X1630365X-main.pdf,True,Wittmann H et al.-2016-EPSL-The cosmogenic record of mountain erosion transmitted across a foreland basin Source-to-sink analysis of in situ.pdf,Wittmann H et al.-2016-EPSL-The cosmogenic record of mountain erosion transmitted across a foreland basin Source-to-sink analysis of in situ.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Wittmann H et al.-2016-EPSL-The cosmogenic record of mountain erosion transmitted across a foreland basin Source-to-sink analysis of in situ.pdf
6,1-s2.0-S0012821X2300331X-main.pdf,test1/1-s2.0-S0012821X2300331X-main.pdf,True,Bhattacharjee S et al.-2023-EPSL-26Al and 10Be concentrations from alluvial drill cores across IndoGangetic plain reveal multimillionyear se.pdf,Bhattacharjee S et al.-2023-EPSL-26Al and 10Be concentrations from alluvial drill cores across IndoGangetic plain reveal multimillionyear se.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bhattacharjee S et al.-2023-EPSL-26Al and 10Be concentrations from alluvial drill cores across IndoGangetic plain reveal multimillionyear se.pdf
7,1-s2.0-S0012825222002495-main (1).pdf,test1/1-s2.0-S0012825222002495-main (1).pdf,True,Bhattacharjee S et al.-2022-ESR-Sediment-transport rates from decadal to millennial timescales across the Indo-Gangetic Plain Impacts of tec.pdf,Bhattacharjee S et al.-2022-ESR-Sediment-transport rates from decadal to millennial timescales across the Indo-Gangetic Plain Impacts of tec.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bhattacharjee S et al.-2022-ESR-Sediment-transport rates from decadal to millennial timescales across the Indo-Gangetic Plain Impacts of tec.pdf
8,1-s2.0-S0012825222002495-main.pdf,test1/1-s2.0-S0012825222002495-main.pdf,True,Bhattacharjee S et al.-2022-ESR-Sediment-transport rates from decadal to millennial timescales across the Indo-Gangetic Plain Impacts of tec.pdf,Bhattacharjee S et al.-2022-ESR-Sediment-transport rates from decadal to millennial timescales across the Indo-Gangetic Plain Impacts of tec (2).pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bhattacharjee S et al.-2022-ESR-Sediment-transport rates from decadal to millennial timescales across the Indo-Gangetic Plain Impacts of tec (2).pdf
9,1-s2.0-S0012825224000011-main.pdf,test1/1-s2.0-S0012825224000011-main.pdf,True,Usman M et al.-2024-ESR-Climatic influence on sediment distribution and transport in the Thar Desert Sindh and Cholistan Pakistan.pdf,Usman M et al.-2024-ESR-Climatic influence on sediment distribution and transport in the Thar Desert Sindh and Cholistan Pakistan.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Usman M et al.-2024-ESR-Climatic influence on sediment distribution and transport in the Thar Desert Sindh and Cholistan Pakistan.pdf
