Sample,A1′(511),A2′(511),A3′(511),B1′(535),B2′(535),B3′(535),R²,Frac_511_total,Frac_535_total
511,8.4263,0.2543,0.1436,1.0949,0.0215,0.0,0.9939,0.8877,0.1123
512,9.812,0.0,0.0,1.4498,0.2019,0.0921,0.9947,0.8491,0.1509
513,2.4592,0.0,0.0,10.5893,0.2528,0.0779,0.9967,0.1838,0.8162
514,4.4838,0.0,0.0,8.5674,0.1908,0.0822,0.9937,0.3365,0.6635
515,8.9077,0.0,0.0,0.8038,0.2756,0.1325,0.9937,0.8802,0.1198
516,0.0,0.1361,0.0,13.4661,0.1512,0.0556,0.9987,0.0099,0.9901
517,0.0,0.0818,0.0,14.6694,0.1309,0.0472,0.9989,0.0055,0.9945
518,0.4913,0.0,0.0,15.7029,0.1432,0.0174,0.9995,0.03,0.97
522(2),0.0,0.0553,0.0,14.7598,0.0776,0.0569,0.9918,0.0037,0.9963
523(2),0.0,0.4059,0.1791,9.4971,0.0,0.0,0.99,0.058,0.942
524(2),4.8767,0.4061,0.2361,1.9815,0.0,0.0,0.9892,0.7358,0.2642
526(2),0.0,0.2936,0.1378,11.3514,0.0,0.0,0.9927,0.0366,0.9634
527(2),0.0,0.3205,0.1436,11.1361,0.0,0.0,0.9929,0.04,0.96
529(2),0.0,0.0692,0.1334,12.3089,0.1843,0.0,0.9948,0.016,0.984
530(2),7.8508,0.0,0.0,0.0,0.411,0.199,0.9696,0.9279,0.0721
535,0.828,0.0156,0.0,10.2956,0.4095,0.0811,0.9983,0.0725,0.9275
601(2),4.1139,0.0,0.0,0.0,0.5214,0.33,0.9732,0.8285,0.1715
602(2),8.7887,0.0,0.0,0.0,0.1186,0.3105,0.9415,0.9534,0.0466
