Sample,A1′(511),A2′(511),A3′(511),B1′(602(2)),B2′(602(2)),B3′(602(2)),R²,Frac_511_total,Frac_602(2)_total
511,8.4179,0.2599,0.1438,12.0517,0.0635,0.0,0.994,0.4213,0.5787
512,9.2179,0.157,0.0,23.8431,0.159,0.0817,0.9962,0.2802,0.7198
513,8.9861,0.2019,0.0,29.1131,0.108,0.0684,0.9975,0.2388,0.7612
514,7.1572,0.1219,0.0,58.5399,0.2728,0.0737,0.9965,0.11,0.89
515,7.0817,0.1915,0.0588,32.4532,0.2586,0.0663,0.9946,0.1828,0.8172
516,7.7213,0.2467,0.0243,49.3638,0.1028,0.0278,0.999,0.139,0.861
517,8.3644,0.1666,0.0321,52.9966,0.1229,0.0138,0.9993,0.1388,0.8612
518,9.9244,0.0872,0.0109,46.138,0.1372,0.0059,0.9998,0.178,0.822
522(2),4.1301,0.1093,0.0066,132.9848,0.2101,0.0448,0.9983,0.0309,0.9691
523(2),6.0012,0.4058,0.1791,27.4483,0.0,0.0,0.99,0.1935,0.8065
524(2),5.9769,0.407,0.236,9.1034,0.0,0.0,0.9892,0.421,0.579
526(2),5.7537,0.3028,0.1374,63.6411,0.0,0.0,0.9935,0.0887,0.9113
527(2),6.4899,0.3239,0.1434,44.1031,0.0,0.0,0.9932,0.1363,0.8637
529(2),5.076,0.1782,0.1331,74.9081,0.2359,0.0,0.9957,0.0669,0.9331
530(2),0.9989,0.1475,0.0,41.3882,1.0429,0.1827,0.9899,0.0262,0.9738
535,6.0075,0.2965,0.0438,40.706,0.2915,0.0328,0.9986,0.134,0.866
601(2),2.4177,0.4058,0.0202,0.0,0.4109,0.2765,0.9801,0.8053,0.1947
602(2),0.5553,0.0094,0.0,86.6181,0.7735,0.282,0.9729,0.0064,0.9936
