Sample,A1′(601(2)),A2′(601(2)),A3′(601(2)),B1′(602(2)),B2′(602(2)),B3′(602(2)),R²,Frac_601(2)_total,Frac_602(2)_total
511,1.0716,0.2671,0.0,107.0514,0.0,0.1248,0.9893,0.0123,0.9877
512,1.4873,0.1255,0.0038,117.8575,0.0,0.0782,0.9944,0.0135,0.9865
513,1.3783,0.1626,0.0,121.9565,0.0,0.0687,0.9957,0.0125,0.9875
514,1.4293,0.1134,0.073,126.0526,0.0,0.0,0.9958,0.0127,0.9873
515,1.3579,0.1959,0.0,101.1582,0.0,0.117,0.9939,0.0151,0.9849
516,1.1939,0.2171,0.0,129.4622,0.0,0.0488,0.9975,0.0108,0.9892
517,1.2776,0.146,0.0,140.6054,0.0,0.0419,0.9973,0.01,0.99
518,1.4933,0.0612,0.0,150.484,0.0,0.016,0.9967,0.0102,0.9898
522(2),0.9268,0.1082,0.0098,169.9829,0.0,0.0403,0.9979,0.0061,0.9939
523(2),0.6093,0.424,0.0,101.2773,0.0,0.1538,0.9792,0.0101,0.9899
524(2),0.5866,0.4411,0.0,82.4058,0.0,0.2037,0.9781,0.0123,0.9877
526(2),0.6028,0.3132,0.0,133.4297,0.0,0.1183,0.985,0.0068,0.9932
527(2),0.7152,0.3301,0.0,120.5917,0.0,0.1236,0.9848,0.0086,0.9914
529(2),0.9648,0.2173,0.0,126.9735,0.0,0.1148,0.9916,0.0092,0.9908
530(2),0.0904,0.1328,0.181,52.9155,1.077,0.0,0.9899,0.0074,0.9926
535,1.3314,0.2942,0.0,94.8656,0.0,0.0699,0.998,0.0168,0.9832
601(2),0.9335,0.3993,0.2063,10.5108,0.1393,0.0845,0.9804,0.1254,0.8746
602(2),0.2722,0.0223,0.2183,88.6979,0.6599,0.0616,0.973,0.0057,0.9943
